CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,fullname
11081,MRS.,SAVANNAH,BAKER,1966-07-24,M,F,savannah39@adventure-works.com,"$120,000 ",2,Bachelors,Management,Y,MRS.SAVANNAHBAKER
11082,,ANGELA,BUTLER,1966-08-04,S,NA,angela17@adventure-works.com,"$130,000 ",0,Graduate Degree,Management,N,ANGELABUTLER
11083,MS.,ALYSSA,COX,1966-03-15,M,F,alyssa37@adventure-works.com,"$130,000 ",0,Graduate Degree,Management,Y,MS.ALYSSACOX
11084,MR.,LUCAS,PHILLIPS,1957-09-12,S,M,lucas7@adventure-works.com,"$80,000 ",2,Partial High School,Skilled Manual,N,MR.LUCASPHILLIPS
11085,MRS.,EMILY,JOHNSON,1957-07-19,S,F,emily1@adventure-works.com,"$60,000 ",2,High School,Professional,N,MRS.EMILYJOHNSON
11086,MR.,RYAN,BROWN,1957-12-23,M,M,ryan43@adventure-works.com,"$70,000 ",2,Partial College,Professional,Y,MR.RYANBROWN
11087,MRS.,TAMARA,LIANG,1957-10-03,M,F,tamara6@adventure-works.com,"$70,000 ",3,Partial College,Professional,N,MRS.TAMARALIANG
11089,MRS.,ABIGAIL,PRICE,1957-02-05,S,F,abigail25@adventure-works.com,"$80,000 ",2,Bachelors,Management,Y,MRS.ABIGAILPRICE
11090,MR.,TREVOR,BRYANT,1957-12-17,S,M,trevor18@adventure-works.com,"$90,000 ",2,Partial College,Professional,Y,MR.TREVORBRYANT
11091,MR.,DALTON,PEREZ,1957-04-04,M,M,dalton37@adventure-works.com,"$90,000 ",2,Partial College,Professional,Y,MR.DALTONPEREZ
11092,MRS.,CHERYL,DIAZ,1967-05-06,M,F,cheryl4@adventure-works.com,"$90,000 ",2,Bachelors,Professional,Y,MRS.CHERYLDIAZ
11093,MS.,AIMEE,HE,1967-09-10,M,F,aimee13@adventure-works.com,"$100,000 ",0,Graduate Degree,Management,Y,MS.AIMEEHE
11094,MR.,CEDRIC,MA,1962-04-01,S,M,cedric15@adventure-works.com,"$70,000 ",1,Partial College,Skilled Manual,N,MR.CEDRICMA
11095,MR.,CHAD,KUMAR,1962-09-01,S,M,chad9@adventure-works.com,"$70,000 ",1,Partial College,Skilled Manual,Y,MR.CHADKUMAR
11096,MR.,ANDR?S,ANAND,1962-08-10,M,M,andr?s18@adventure-works.com,"$60,000 ",1,Bachelors,Professional,Y,MR.ANDR?SANAND
11097,MR.,EDWIN,NARA,1961-10-27,M,M,edwin39@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y,MR.EDWINNARA
11098,MRS.,MALLORY,RUBIO,1961-05-01,S,F,mallory7@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,N,MRS.MALLORYRUBIO
11099,MR.,ADAM,ROSS,1961-03-08,M,M,adam2@adventure-works.com,"$60,000 ",1,Bachelors,Professional,Y,MR.ADAMROSS
11100,MRS.,LATASHA,NAVARRO,1960-09-15,S,F,latasha10@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y,MRS.LATASHANAVARRO
11101,MS.,ABBY,SAI,1965-05-08,S,F,abby4@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N,MS.ABBYSAI
11102,MRS.,JULIA,NELSON,1965-04-21,S,F,julia7@adventure-works.com,"$80,000 ",5,Bachelors,Professional,Y,MRS.JULIANELSON
11103,MS.,CASSIE,CHANDE,1964-10-17,S,F,cassie13@adventure-works.com,"$70,000 ",0,Bachelors,Professional,Y,MS.CASSIECHANDE
11104,MR.,EDGAR,SARA,1964-03-11,M,M,edgar11@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N,MR.EDGARSARA
11105,MS.,CANDACE,FERNANDEZ,1964-12-28,S,F,candace15@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N,MS.CANDACEFERNANDEZ
11106,MR.,JESSIE,LIU,1964-09-11,S,M,jessie9@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N,MR.JESSIELIU
11107,MRS.,BIANCA,LIN,1959-09-09,M,F,bianca7@adventure-works.com,"$90,000 ",1,Bachelors,Professional,Y,MRS.BIANCALIN
11108,MS.,KARI,ALVAREZ,1963-07-14,S,F,kari25@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N,MS.KARIALVAREZ
11109,MR.,RUBEN,KAPOOR,1963-11-05,S,M,ruben1@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N,MR.RUBENKAPOOR
11110,MR.,CURTIS,YANG,1962-06-06,M,M,curtis5@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y,MR.CURTISYANG
11111,MRS.,MEREDITH,GUTIERREZ,1962-02-23,M,F,meredith34@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y,MRS.MEREDITHGUTIERREZ
11112,MRS.,CRYSTAL,WANG,1962-09-09,M,F,crystal3@adventure-works.com,"$60,000 ",1,Partial College,Skilled Manual,Y,MRS.CRYSTALWANG
11113,MR.,MICHEAL,BLANCO,1962-02-21,M,M,micheal11@adventure-works.com,"$70,000 ",5,Bachelors,Professional,Y,MR.MICHEALBLANCO
11114,MRS.,LESLIE,MORENO,1962-05-28,S,F,leslie7@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y,MRS.LESLIEMORENO
11115,MR.,ALVIN,CAI,1962-02-12,M,M,alvin20@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y,MR.ALVINCAI
11116,MR.,CLINTON,CARLSON,1962-10-07,M,M,clinton14@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y,MR.CLINTONCARLSON
11117,MRS.,APRIL,DENG,1961-02-21,M,F,april1@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y,MRS.APRILDENG
11118,MR.,ALVIN,ZENG,1957-07-03,S,M,alvin21@adventure-works.com,"$80,000 ",1,Partial College,Skilled Manual,N,MR.ALVINZENG
11119,MR.,EVAN,JAMES,1935-04-10,S,M,evan8@adventure-works.com,"$30,000 ",2,Partial College,Clerical,N,MR.EVANJAMES
11121,MR.,ORLANDO,SUAREZ,1960-11-18,M,M,orlando19@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y,MR.ORLANDOSUAREZ
11122,MR.,BYRON,VAZQUEZ,1960-04-02,M,M,byron9@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y,MR.BYRONVAZQUEZ
11123,MR.,PHILIP,ALVAREZ,1960-06-20,M,M,philip4@adventure-works.com,"$70,000 ",5,Partial College,Skilled Manual,Y,MR.PHILIPALVAREZ
11124,MR.,ROSS,JORDAN,1957-07-27,S,M,ross1@adventure-works.com,"$80,000 ",1,Partial College,Skilled Manual,Y,MR.ROSSJORDAN
11125,MRS.,DANA,NAVARRO,1956-04-08,S,F,dana2@adventure-works.com,"$70,000 ",1,Partial College,Skilled Manual,Y,MRS.DANANAVARRO
11126,MR.,SHAUN,CARSON,1949-04-07,M,M,shaun16@adventure-works.com,"$10,000 ",2,High School,Skilled Manual,N,MR.SHAUNCARSON
11127,MS.,JAN,EDWARDS,1975-10-21,M,F,jan11@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y,MS.JANEDWARDS
11128,MS.,SAMANTHA,LONG,1975-12-05,M,F,samantha35@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y,MS.SAMANTHALONG
11129,MS.,JULIA,WRIGHT,1975-08-05,S,F,julia17@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y,MS.JULIAWRIGHT
11130,MS.,CAROLINE,RUSSELL,1980-01-06,M,F,caroline21@adventure-works.com,"$30,000 ",0,High School,Skilled Manual,Y,MS.CAROLINERUSSELL
11131,MS.,AMANDA,RIVERA,1980-03-12,M,F,amanda7@adventure-works.com,"$30,000 ",0,High School,Skilled Manual,N,MS.AMANDARIVERA
11132,MS.,MELISSA,RICHARDSON,1980-10-26,S,F,melissa31@adventure-works.com,"$30,000 ",0,High School,Skilled Manual,N,MS.MELISSARICHARDSON
11133,MS.,ANGELA,GRIFFIN,1980-09-08,S,F,angela23@adventure-works.com,"$30,000 ",0,Partial High School,Clerical,N,MS.ANGELAGRIFFIN
11134,MR.,LARRY,TOWNSEND,1946-02-26,S,M,larry14@adventure-works.com,"$10,000 ",5,High School,Skilled Manual,Y,MR.LARRYTOWNSEND
11135,MR.,MARCUS,HARRIS,1979-11-03,S,M,marcus14@adventure-works.com,"$30,000 ",0,Partial High School,Clerical,N,MR.MARCUSHARRIS
11136,MS.,BRIANNA,MORGAN,1978-10-26,S,F,brianna30@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N,MS.BRIANNAMORGAN
11137,MS.,JASMINE,TAYLOR,1978-07-20,M,F,jasmine7@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y,MS.JASMINETAYLOR
11138,MS.,LAUREN,DAVIS,1978-09-15,M,F,lauren23@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N,MS.LAURENDAVIS
11139,MRS.,TANYA,MORENO,1938-11-09,S,F,tanya2@adventure-works.com,"$30,000 ",2,Partial College,Clerical,N,MRS.TANYAMORENO
11140,MR.,JAVIER,ALVAREZ,1977-02-11,S,M,javier1@adventure-works.com,"$30,000 ",0,Partial High School,Clerical,N,MR.JAVIERALVAREZ
11141,MS.,NICOLE,RAMIREZ,1977-06-21,M,F,nicole42@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N,MS.NICOLERAMIREZ
11142,MR.,EDUARDO,PATTERSON,1977-08-14,S,M,eduardo55@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N,MR.EDUARDOPATTERSON
11143,MR.,JONATHAN,HENDERSON,1977-02-04,M,M,jonathan4@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y,MR.JONATHANHENDERSON
11144,MR.,EDWARD,HERNANDEZ,1979-09-09,S,M,edward48@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N,MR.EDWARDHERNANDEZ
11145,MS.,JASMINE,COLEMAN,1979-12-08,S,F,jasmine46@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N,MS.JASMINECOLEMAN
11146,MRS.,KARLA,GOEL,1939-08-26,S,F,karla20@adventure-works.com,"$40,000 ",2,Bachelors,Management,Y,MRS.KARLAGOEL
11147,MR.,ERNEST,WU,1939-02-05,M,M,ernest6@adventure-works.com,"$60,000 ",2,Graduate Degree,Management,Y,MR.ERNESTWU
11148,MR.,ROSS,VAZQUEZ,1941-08-16,M,M,ross32@adventure-works.com,"$40,000 ",2,Bachelors,Management,Y,MR.ROSSVAZQUEZ
11149,MR.,THEODORE,GILL,1941-04-20,M,M,theodore14@adventure-works.com,"$40,000 ",2,Bachelors,Management,Y,MR.THEODOREGILL
11150,MR.,RUSSELL,SHEN,1941-03-15,S,M,russell6@adventure-works.com,"$40,000 ",2,Bachelors,Management,Y,MR.RUSSELLSHEN
11151,MRS.,MELINDA,GILL,1942-02-25,S,F,melinda9@adventure-works.com,"$60,000 ",2,Graduate Degree,Management,N,MRS.MELINDAGILL
11152,MR.,JAMES,WILLIAMS,1976-01-10,S,M,james77@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y,MR.JAMESWILLIAMS
11153,MS.,ANGELA,JAMES,1976-06-23,M,F,angela34@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y,MS.ANGELAJAMES
11154,MS.,MEGAN,WALKER,1976-08-21,S,F,megan25@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,Y,MS.MEGANWALKER
11155,MR.,HUNTER,ROBINSON,1976-01-26,S,M,hunter50@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,N,MR.HUNTERROBINSON
11156,MS.,MARIA,ROBERTS,1976-02-07,S,F,maria47@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,N,MS.MARIAROBERTS
11157,MS.,HANNAH,LONG,1975-06-11,M,F,hannah32@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y,MS.HANNAHLONG
11158,MR.,JASON,WRIGHT,1975-10-08,S,M,jason46@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y,MR.JASONWRIGHT
11159,MS.,BRIANNA,HUGHES,1975-09-17,S,F,brianna57@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N,MS.BRIANNAHUGHES
11160,MR.,MAURICE,TANG,1974-01-08,S,M,maurice4@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,N,MR.MAURICETANG
11161,MS.,EMILY,WOOD,1974-04-22,S,F,emily27@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,N,MS.EMILYWOOD
11162,MR.,CHASE,COX,1974-03-05,S,M,chase10@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,Y,MR.CHASECOX
11163,MR.,GABRIEL,WANG,1974-12-20,M,M,gabriel21@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,Y,MR.GABRIELWANG
11164,MR.,DEVIN,BROOKS,1974-05-05,S,M,devin63@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,N,MR.DEVINBROOKS
11165,MS.,JOCELYN,ALEXANDER,1973-07-18,M,F,jocelyn18@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,N,MS.JOCELYNALEXANDER
11166,MS.,ASHLEY,MARTINEZ,1972-04-24,S,F,ashley18@adventure-works.com,"$70,000 ",0,Partial College,Skilled Manual,N,MS.ASHLEYMARTINEZ
11167,MS.,JASMINE,BARNES,1972-08-01,S,F,jasmine43@adventure-works.com,"$80,000 ",0,Bachelors,Management,N,MS.JASMINEBARNES
11168,MR.,DAVID,RODRIGUEZ,1968-05-15,S,M,david83@adventure-works.com,"$80,000 ",0,Bachelors,Management,N,MR.DAVIDRODRIGUEZ
11169,MR.,BRYCE,RICHARDSON,1968-06-22,M,M,bryce8@adventure-works.com,"$90,000 ",4,Bachelors,Management,Y,MR.BRYCERICHARDSON
11170,MRS.,CAROL,HOWARD,1968-02-05,M,F,carol5@adventure-works.com,"$90,000 ",4,Bachelors,Management,Y,MRS.CAROLHOWARD
11171,MR.,JONATHAN,HILL,1967-10-09,S,M,jonathan43@adventure-works.com,"$100,000 ",1,Bachelors,Management,Y,MR.JONATHANHILL
11172,MRS.,GABRIELLE,ADAMS,1967-11-21,M,F,gabrielle58@adventure-works.com,"$100,000 ",1,Bachelors,Management,Y,MRS.GABRIELLEADAMS
11173,MS.,SARAH,THOMAS,1967-09-01,S,F,sarah13@adventure-works.com,"$110,000 ",0,Graduate Degree,Management,N,MS.SARAHTHOMAS
11174,MR.,NICHOLAS,ROBINSON,1967-07-13,M,M,nicholas19@adventure-works.com,"$110,000 ",0,Graduate Degree,Management,Y,MR.NICHOLASROBINSON
11175,MR.,LUIS,WANG,1963-03-05,S,M,luis24@adventure-works.com,"$70,000 ",0,Partial College,Skilled Manual,Y,MR.LUISWANG
11176,MR.,MASON,ROBERTS,1968-01-25,M,M,mason25@adventure-works.com,"$90,000 ",4,Bachelors,Management,Y,MR.MASONROBERTS
